CustomerID,num_transactions,total_order_value,days_between_trans,repeat_share,dog_share,avg_order_value
qde291,1,129134.4,232.21,0.0690991365409419,0.6212598331466493,129134.4
fmc255,1,129099.75,223.17,0.1931624061980464,0.0832607773713919,129099.75
bha959,1,77469.56,222.14,0.1768416251921152,0.1947847612324409,77469.56
kzt095,1,64571.490000000005,233.44,0.1154976250038439,0.6730272873003139,64571.490000000005
yfg601,1,64559.97,222.99,0.1961406563858995,0.0818403773551002,64559.97
gnm938,1,51660.33,232.58,0.1461682618591752,0.441947418000799,51660.33
wzy939,2,103189.38,129.75,0.2172865470706591,0.1258866092725037,51594.69
zqj895,2,90312.75,130.72,0.2249169428076045,0.0,45156.375
wiq384,1,38748.97,230.23,0.0979642392386248,0.4869208763667428,38748.97
ubf524,1,38747.25,221.19,0.1582658595138968,0.0984373572157427,38747.25
pzy572,1,38746.59,222.12,0.23274250108101,0.3714360925491446,38746.59
bkm762,3,103148.43,100.72,0.201639927979736,0.3589793060510998,34382.81
ugb162,2,64517.41,132.03,0.1539080930641705,0.0,32258.705
zdf365,3,90210.75,99.87,0.2075982656526373,0.2816710723962374,30070.25
gup892,4,115859.69,86.22,0.1787863601221115,0.1536408551386646,28964.9225
ivo593,5,128354.55,65.89,0.3658232588452801,0.488193466594999,25670.91
hsa160,5,115817.29,76.81,0.145125095184884,0.1097415130100479,23163.458
rll887,5,115804.09,75.61,0.2038926602535978,0.1324386391271413,23160.818
gwd492,4,90182.55,85.48,0.1887336166030783,0.1895849558927065,22545.6375
rnx583,6,127890.96000000002,61.13,0.3323749324392653,0.3001746136213022,21315.160000000003
tbc994,7,128522.94000000002,65.48,0.2076062862350186,0.326476428315697,18360.420000000002
pjv522,7,115652.25,66.89,0.1574746776056233,0.0388187548557265,16521.75
zjd278,7,115304.49,55.77,0.3199770706211151,0.1936367032357384,16472.07
qhd544,7,115196.41,57.07,0.2949285534530054,0.4378972557642748,16456.63
xwn708,8,128089.14,52.17,0.3305863425321741,0.3120175103676829,16011.1425
uzi916,5,77230.65999999999,76.01,0.2495761444626648,0.3304448348075995,15446.131999999998
sml907,7,102641.14,66.58,0.1949129138873508,0.0,14663.02
bbx340,8,115500.97,63.22,0.200589532916358,0.2317885168847623,14437.62125
nyh201,9,128289.21000000002,58.92,0.1878589458331346,0.265462046291501,14254.356666666668
scj774,3,38690.670000000006,101.03,0.1863750078883676,0.1437580928559858,12896.890000000001
fdx249,5,64283.45,76.72,0.2032902599816621,0.1492178221837922,12856.689999999999
wos019,5,51324.54000000001,67.03,0.1551046874020263,0.2801695475630135,10264.908000000001
lrm592,12,114156.33,34.94,0.3303826643138178,0.2474031314218148,9513.0275
ndv662,12,113871.21,34.44,0.3674447760092291,0.2728679045419748,9489.2675
gfp623,10,89402.67000000001,47.94,0.2469389786038391,0.2092462340409988,8940.267000000002
moj640,11,88977.63,46.15,0.3864067118145418,0.4961092992823726,8088.875454545455
kzm426,11,88771.70999999999,36.91,0.3354150024971577,0.4172776441127412,8070.155454545454
bor982,16,126343.14,31.63,0.3568426331562528,0.1453332787415305,7896.44625
pbb201,16,125772.9,31.08,0.4584398169625484,0.1766101131197455,7860.80625
elw950,16,125206.98,31.75,0.3237515695248733,0.2271845667474736,7825.43625
iac335,15,113540.49,32.27,0.376736120512514,0.2523737730749515,7569.366
yii111,15,113409.69,32.64,0.3456628600515699,0.3575297244783607,7560.646
dtf626,15,113286.09,29.89,0.3994461303845684,0.0739130890485197,7552.406
izp030,15,113176.89,31.52,0.4422401970000769,0.3810234234584629,7545.126
iqk901,15,113104.89,31.15,0.3661448560564622,0.2155138760432464,7540.326
gvq694,15,113056.89,31.22,0.3772005763321084,0.2681759956135088,7537.126
tuj604,17,125487.6,29.24,0.4034858265374926,0.3338099729525814,7381.623529411765
uxw935,14,101261.3,43.21,0.2094374256463654,0.3055241901545405,7232.95
oyg435,16,113176.49,31.37,0.4333137507926941,0.2744472265682698,7073.530625
gds993,18,125265.48,29.1,0.4112923306116781,0.1914344492959646,6959.193333333333
vaw959,13,88502.01000000002,35.04,0.4902623001623926,0.1218730716351202,6807.846923076925
mor064,13,88346.01000000002,32.51,0.4143597078220793,0.3265864767163543,6795.846923076925
uct854,15,101026.38,31.94,0.4132889451963343,0.0022212737955277,6735.092000000001
son703,15,100819.53,31.57,0.3591468495148986,0.1341154815370479,6721.302
iga657,15,100759.68,31.69,0.380008327279312,0.0562564212491573,6717.312
xeb396,12,76469.46,43.23,0.3003415782179545,0.1768107684535017,6372.455000000001
pam617,14,88451.79000000001,33.99,0.3152038782258436,0.3205293739751275,6317.985000000001
eml152,14,88382.06999999999,33.01,0.3313318613626381,0.3674411586599987,6313.004999999999
fwu071,14,88380.39,33.08,0.3501661291386221,0.1856200896404757,6312.885
ytn668,14,88252.70999999999,31.75,0.3929747536321903,0.1766171614610402,6303.764999999999
zcp540,16,100706.48,31.4,0.465703317215081,0.1777326395995595,6294.155
cpy284,14,88003.23,33.24,0.3733299614256047,0.3996062413611319,6285.945
kya370,15,88103.67000000001,31.07,0.428809896001014,0.1940786806776712,5873.578
qah442,16,88156.47000000002,31.6,0.3477896695679661,0.139576222721086,5509.779375000001
skq789,14,75900.86000000002,33.02,0.3875975132526209,0.1459923465676456,5421.490000000001
fyu607,14,75778.36000000002,31.08,0.3733486695030735,0.0230077469172684,5412.740000000001
hgh570,14,75744.76000000001,33.67,0.4525594834625774,0.241041238983341,5410.340000000001
wej156,12,63493.89,35.53,0.3624958142697083,0.2128306870808054,5291.1575
ywb936,15,75709.40999999999,32.03,0.3578056511180568,0.1532377054345492,5047.293999999999
ill001,18,87654.02999999998,27.94,0.4447208184134923,0.0596804064765029,4869.668333333332
upq157,13,63296.73,35.69,0.4675609759047593,0.1784237167977939,4868.979230769231
jjz728,16,75673.66,33.13,0.4277188381586704,0.2210769824488452,4729.60375
huh642,11,50981.64,46.01,0.3055090811895615,0.1561036123662762,4634.694545454546
xsf742,14,63166.530000000006,34.84,0.3950155364074511,0.0762758040560038,4511.895
kts759,14,63122.850000000006,34.4,0.3707653653122582,0.3338397382704167,4508.775000000001
fkv765,17,75388.61,30.79,0.4037756176630471,0.2569382432588183,4434.6241176470585
kjb721,15,63148.65,32.1,0.4088146365439981,0.3531839981085937,4209.91
ydf475,18,75187.26000000001,27.96,0.3381422900120754,0.3175551306434648,4177.070000000001
lwz334,13,50961.63,43.88,0.3378384079428541,0.238285048536006,3920.1253846153845
lxl395,13,50688.240000000005,33.47,0.3567954820300204,0.0270606242134325,3899.0953846153852
opf751,13,50630.52,33.31,0.4786124783813843,0.0826989108916791,3894.6553846153843
ete747,10,38398.23000000001,48.09,0.3915106227356334,0.2000425996653694,3839.8230000000012
bhw729,17,63251.25,31.1,0.3888767350825109,0.2171356696159825,3720.6617647058824
mrg277,17,62858.89,31.46,0.3240745150477757,0.0408558468107976,3697.5817647058825
bxq294,14,50719.62,33.35,0.4038150093509818,0.3660292632387727,3622.8300000000004
vyx786,11,38165.61,35.88,0.2776603762609513,0.1613243615137351,3469.600909090909
cwy904,15,50526.69,30.47,0.3911908755545981,0.1834351936374748,3368.4460000000004
gbh903,12,38237.07,35.39,0.4085265582007819,0.3030183612688349,3186.4225
pxf173,12,38201.79,34.64,0.3804277757846466,0.0973370001713104,3183.4825
ghl009,12,38195.79,45.88,0.3686163739643046,0.1269391289857152,3182.9825
rgw633,16,50557.8,29.46,0.3838440321799999,0.180967096652327,3159.8625
lcv852,16,50470.92,31.61,0.3265108386907846,0.2640736186631588,3154.4325
uzj719,13,38110.170000000006,33.57,0.4323658710551277,0.1030220995726746,2931.5515384615387
day920,14,38139.42999999999,32.14,0.3726617482872278,0.3312721547426071,2724.2449999999994
uad312,15,38025.030000000006,31.45,0.4383531999452463,0.2201131330268703,2535.0020000000004
pmc253,16,37927.310000000005,32.07,0.4690035745231513,0.0975293268237699,2370.4568750000003
